iter	Logloss
0	0.6545536655
1	0.6199876527
2	0.5852924963
3	0.5564340039
4	0.5305988962
5	0.5064874979
6	0.4832754512
7	0.4629395212
8	0.4475785382
9	0.4310759064
10	0.4166243286
11	0.4031129863
12	0.3897278164
13	0.3785056773
14	0.3677620965
15	0.3585927348
16	0.3505073436
17	0.342690799
18	0.3360414445
19	0.3299413385
20	0.3229712919
21	0.317558748
22	0.3116444763
23	0.3064458277
24	0.3032950512
25	0.299374773
26	0.2956001032
27	0.2928157933
28	0.2892453015
29	0.2859284238
30	0.2833444841
31	0.2812071829
32	0.2784917543
33	0.2758897738
34	0.2741055343
35	0.2713685069
36	0.2692416533
37	0.2680318641
38	0.2659755678
39	0.2644881356
40	0.2628072698
41	0.261183357
42	0.2587224296
43	0.2575018746
44	0.2555219408
45	0.2543575126
46	0.2534552132
47	0.2522970644
48	0.251378361
49	0.2501041388
50	0.2488573768
51	0.2474814257
52	0.2465303844
53	0.2451421117
54	0.2442781839
55	0.2436579369
56	0.2428481911
57	0.2415434135
58	0.2404527427
59	0.2399576734
60	0.2392875357
61	0.239174395
62	0.2380895375
63	0.2372858129
64	0.2367171162
65	0.2362728379
66	0.23564113
67	0.2353011784
68	0.2348720342
69	0.2340669552
70	0.2337459678
71	0.2332397059
72	0.2328261011
73	0.2325060187
74	0.2318313404
75	0.231314715
76	0.2307003388
77	0.2293967286
78	0.2287953091
79	0.2281703431
80	0.2276865368
81	0.2274315466
82	0.2271677032
83	0.2268906932
84	0.2261427824
85	0.2256711839
86	0.225439
87	0.2251964809
88	0.2248617635
89	0.2246876127
90	0.2243288451
91	0.2241122404
92	0.2239501165
93	0.2234425625
94	0.2231838165
95	0.2229841355
96	0.222741487
97	0.2224030813
98	0.2220934178
99	0.2219174427
100	0.2216495741
101	0.2215192578
102	0.2211389396
103	0.2209238964
104	0.2205463674
105	0.2202986712
106	0.219455654
107	0.2193069592
108	0.2188864344
109	0.2185345562
110	0.2183723825
111	0.2176291224
112	0.2172906597
113	0.2170898041
114	0.2169440453
115	0.2166190717
116	0.2163915013
117	0.2161860852
118	0.2155479072
119	0.2153459943
120	0.214930946
121	0.2142390784
122	0.2140715769
123	0.2137772711
124	0.2135622896
125	0.212622438
126	0.2122418975
127	0.2120955899
128	0.2119639113
129	0.2117803999
130	0.2116276465
131	0.2112705814
132	0.2111153728
133	0.2110417678
134	0.2108637316
135	0.2107044961
136	0.2105528407
137	0.2104107497
138	0.2101929476
139	0.2101125749
140	0.2097751284
141	0.2096352657
142	0.2091778347
143	0.209117026
144	0.208953294
145	0.2088744195
146	0.208454384
147	0.2083454929
148	0.2080205547
149	0.2079050382
150	0.2077993057
151	0.2076644938
152	0.2075140259
153	0.2072702334
154	0.2070544276
155	0.206939205
156	0.2067554333
157	0.2066023174
158	0.2065066673
159	0.206434789
160	0.2063050055
161	0.2061983582
162	0.2060477544
163	0.205979161
164	0.2059371999
165	0.2059031878
166	0.2057710187
167	0.2055966995
168	0.205530509
169	0.2054220629
170	0.205281462
171	0.2050337279
172	0.2049067556
173	0.2047229531
174	0.2046236231
175	0.2040817508
176	0.204034759
