iter	Passed	Remaining
0	21	21522
1	26	13176
2	30	10250
3	34	8710
4	39	7850
5	43	7251
6	48	6819
7	52	6568
8	57	6343
9	61	6122
10	65	5860
11	69	5739
12	74	5646
13	78	5505
14	82	5400
15	86	5307
16	90	5224
17	94	5140
18	98	5062
19	102	5019
20	106	4981
21	110	4926
22	115	4887
23	119	4848
24	123	4808
25	127	4762
26	131	4747
27	135	4697
28	138	4643
29	142	4602
30	145	4560
31	149	4511
32	152	4475
33	156	4446
34	159	4409
35	163	4379
36	168	4373
37	171	4345
38	175	4321
39	178	4294
40	182	4265
41	185	4235
42	189	4207
43	192	4181
44	195	4157
45	199	4145
46	203	4132
47	207	4121
48	211	4108
49	215	4096
50	220	4098
51	223	4083
52	227	4064
53	231	4049
54	234	4035
55	238	4020
56	242	4010
57	246	3995
58	250	3988
59	254	3984
60	258	3972
61	260	3940
62	264	3935
63	268	3926
64	272	3918
65	276	3907
66	279	3898
67	283	3884
68	287	3875
69	290	3865
70	295	3861
71	299	3864
72	303	3855
73	307	3850
74	311	3839
75	315	3832
76	319	3824
77	322	3815
78	326	3808
79	330	3799
80	334	3791
81	338	3784
82	341	3774
83	346	3773
84	349	3766
85	354	3765
86	358	3758
87	361	3750
88	365	3742
89	369	3735
90	373	3729
91	377	3724
92	381	3718
93	385	3711
94	388	3702
95	392	3692
96	396	3687
97	399	3678
98	403	3672
99	407	3663
100	411	3659
101	414	3652
102	419	3654
103	423	3651
104	427	3646
105	431	3640
106	435	3632
107	439	3626
108	442	3619
109	446	3613
110	450	3607
111	454	3599
112	457	3591
113	461	3583
114	465	3579
115	469	3574
116	472	3568
117	476	3559
118	480	3555
119	483	3547
120	487	3543
121	491	3535
122	495	3531
123	499	3527
124	503	3521
125	507	3517
126	510	3511
127	515	3511
128	519	3507
129	523	3505
130	527	3499
131	531	3495
132	535	3489
133	539	3484
134	543	3479
135	547	3475
136	551	3476
137	555	3471
138	559	3465
139	563	3461
140	566	3454
141	570	3449
142	574	3445
143	578	3439
144	582	3437
145	586	3431
146	590	3426
147	594	3419
148	597	3414
149	601	3409
150	605	3404
151	609	3399
152	613	3396
153	617	3392
154	621	3389
155	625	3382
156	629	3377
157	632	3372
158	636	3366
159	639	3359
160	644	3357
161	647	3350
162	651	3344
163	655	3338
164	658	3331
165	662	3326
166	666	3323
167	670	3319
168	673	3313
169	677	3308
170	681	3303
171	685	3299
172	689	3294
173	692	3287
174	696	3282
175	700	3278
176	704	3273
177	707	3268
178	713	3270
179	716	3264
180	720	3260
181	724	3254
182	728	3250
183	732	3246
184	736	3243
185	740	3241
186	744	3237
187	748	3233
188	752	3230
189	756	3224
190	760	3219
191	763	3214
192	767	3209
193	771	3207
194	776	3205
195	780	3201
196	784	3196
197	787	3190
198	792	3188
199	796	3184
200	800	3180
201	803	3175
202	807	3170
203	812	3169
204	815	3164
205	820	3161
206	823	3155
207	828	3156
208	832	3151
209	836	3146
210	840	3143
211	845	3141
212	849	3137
213	853	3133
214	856	3127
215	860	3123
216	864	3117
217	867	3113
218	871	3107
219	875	3103
220	878	3098
221	882	3093
222	886	3088
223	890	3083
224	893	3079
225	897	3074
226	901	3069
227	904	3064
228	909	3062
229	914	3062
230	919	3059
231	923	3056
232	928	3055
233	932	3053
234	937	3050
235	941	3048
236	946	3046
237	951	3047
238	956	3045
239	961	3043
240	967	3047
241	971	3044
242	980	3054
243	985	3054
244	991	3054
245	995	3050
246	1049	3198
247	1054	3197
248	1064	3210
249	1070	3211
250	1075	3207
251	1079	3203
252	1083	3198
253	1087	3194
254	1091	3188
255	1095	3182
256	1099	3177
257	1103	3172
258	1106	3167
259	1110	3159
260	1113	3153
261	1117	3147
262	1121	3141
263	1124	3135
264	1127	3128
265	1131	3122
266	1135	3115
267	1138	3110
268	1142	3104
269	1145	3098
270	1149	3091
271	1152	3084
272	1156	3080
273	1160	3075
274	1164	3069
275	1167	3062
276	1170	3056
277	1174	3050
278	1178	3044
279	1181	3038
280	1185	3032
281	1188	3026
282	1191	3020
283	1195	3013
284	1198	3007
285	1201	3000
286	1205	2995
287	1209	2988
288	1212	2983
289	1216	2978
290	1220	2972
291	1223	2967
292	1227	2961
293	1230	2955
294	1234	2949
295	1237	2943
296	1241	2937
297	1244	2931
298	1248	2926
299	1251	2920
300	1255	2915
301	1258	2909
302	1262	2903
303	1265	2898
304	1269	2893
305	1273	2887
306	1276	2881
